2149	Handstitched Leather Boots	2302	165	Trainer		
2152	Light Armor Kit	2304	165	Trainer		
2153	Handstitched Leather Pants	2303	165	Trainer		
2158	Fine Leather Boots	2307	165	World Drop		211719
2159	Fine Leather Cloak	2308	165	Trainer		
2160	Embossed Leather Vest	2300	165	Trainer		
2161	Embossed Leather Boots	2309	165	Trainer		
2162	Embossed Leather Cloak	2310	165	Trainer		
2163	White Leather Jerkin	2311	165	World Drop		57000
2164	Fine Leather Gloves	2312	165	World Drop		7444
2165	Medium Armor Kit	2313	165	Trainer		
2166	Toughened Leather Armor	2314	165	Trainer		
2167	Dark Leather Boots	2315	165	Trainer		
2168	Dark Leather Cloak	2316	165	Trainer		
2169	Dark Leather Tunic	2317	165	World Drop		100000
2329	Elixir of Lion's Strength	2454	171	Trainer		
2330	Minor Healing Potion	118	171	Trainer		
2331	Minor Mana Potion	2455	171	Trainer		
2332	Minor Rejuvenation Potion	2456	171	Trainer		
2333	Elixir of Lesser Agility	3390	171	World Drop		39990000
2334	Elixir of Minor Fortitude	2458	171	Trainer		
2335	Swiftness Potion	2459	171	World Drop		750000
2336	Elixir of Tongues	2460	171	Not Available		
2337	Lesser Healing Potion	858	171	Trainer		
2385	Brown Linen Vest	2568	197	Trainer		
2386	Linen Boots	2569	197	Trainer		
2387	Linen Cloak	2570	197	Trainer		
2389	Red Linen Robe	2572	197	World Drop		3649
2392	Red Linen Shirt	2575	197	Trainer		
2393	White Linen Shirt	2576	197	Trainer		
2394	Blue Linen Shirt	2577	197	Trainer		
2395	Barbaric Linen Vest	2578	197	Trainer		
2396	Green Linen Shirt	2579	197	Trainer		
2397	Reinforced Linen Cape	2580	197	Trainer		
2399	Green Woolen Vest	2582	197	Trainer		
2401	Woolen Boots	2583	197	Trainer		
2402	Woolen Cape	2584	197	Trainer		
2403	Gray Woolen Robe	2585	197	World Drop		
2406	Gray Woolen Shirt	2587	197	Trainer		
2538	Charred Wolf Meat	2679	185	Trainer		
2539	Spiced Wolf Meat	2680	185	Trainer		
2540	Roasted Boar Meat	2681	185	Trainer		
2541	Coyote Steak	2684	185	Trainer		
2542	Goretusk Liver Pie	724	185	Vendor		50000
2543	Westfall Stew	733	185	World Drop		
2544	Crab Cake	2683	185	Trainer		
2545	Cooked Crab Claw	2682	185	World Drop		
2546	Dry Pork Ribs	2687	185	Trainer		
2547	Redridge Goulash	1082	185	Vendor		151613
2548	Succulent Pork Ribs	2685	185	World Drop		147900
2549	Seasoned Wolf Kabob	1017	185	Vendor		9099
2657	Smelt Copper	2840	186	Trainer		
2658	Smelt Silver	2842	186	Trainer		
2659	Smelt Bronze	2841	186	Trainer		
2660	Rough Sharpening Stone	2862	164	Trainer		
2661	Copper Chain Belt	2851	164	Trainer		
2662	Copper Chain Pants	2852	164	Trainer		
2663	Copper Bracers	2853	164	Trainer		
2664	Runed Copper Bracers	2854	164	Trainer		
2665	Coarse Sharpening Stone	2863	164	Trainer		
2666	Runed Copper Belt	2857	164	Trainer		
2667	Runed Copper Breastplate	2864	164	World Drop		96500
2668	Rough Bronze Leggings	2865	164	Trainer		
2670	Rough Bronze Cuirass	2866	164	Trainer		
2671	Rough Bronze Bracers	2867	164	Unknown		
2672	Patterned Bronze Bracers	2868	164	Trainer		
2673	Silvered Bronze Breastplate	2869	164	World Drop		134425
2674	Heavy Sharpening Stone	2871	164	Trainer		
2675	Shining Silver Breastplate	2870	164	Trainer		
2737	Copper Mace	2844	164	Trainer		
2738	Copper Axe	2845	164	Trainer		
2739	Copper Shortsword	2847	164	Trainer		
2740	Bronze Mace	2848	164	Trainer		
2741	Bronze Axe	2849	164	Trainer		
2742	Bronze Shortsword	2850	164	Trainer		
2795	Beer Basted Boar Ribs	2888	185	Vendor		4800
2881	Light Leather	2318	165	Trainer		
2963	Bolt of Linen Cloth	2996	197	Trainer		
2964	Bolt of Woolen Cloth	2997	197	Trainer		
3115	Rough Weightstone	3239	164	Trainer		
3116	Coarse Weightstone	3240	164	Trainer		
3117	Heavy Weightstone	3241	164	Trainer		
3170	Weak Troll's Blood Elixir	3382	171	Trainer		
3171	Elixir of Wisdom	3383	171	Trainer		
3172	Minor Magic Resistance Potion	3384	171	World Drop		
3173	Lesser Mana Potion	3385	171	Trainer		
3174	Potion of Curing	3386	171	World Drop		
3175	Limited Invulnerability Potion	3387	171	World Drop		1499499
3176	Strong Troll's Blood Elixir	3388	171	Trainer		
3177	Elixir of Defense	3389	171	Trainer		
3188	Elixir of Ogre's Strength	3391	171	World Drop		1000000
3230	Elixir of Minor Agility	2457	171	World Drop		1500000
